       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   7.14077857e-07   5.33278800e-07  -2.56982187e-07  -3.55462938e-18   6.32717924e-18   3.25263177e-18
  8.00000000e-08  -2.77932626e-07  -2.05670216e-07  -3.04641971e-06   1.55076052e-17  -2.20640346e-18  -1.26583935e-18
  1.60000000e-07   0.00000000e+00   0.00000000e+00  -3.78281406e-07   1.70007800e-18   3.08168491e-20  -2.71276438e-41
  2.40000000e-07   0.00000000e+00   0.00000000e+00  -1.97919775e-06   8.89493943e-18   1.61289617e-19  -7.42127454e-40
  3.20000000e-07   0.00000000e+00   0.00000000e+00  -7.65501291e-07   3.44032664e-18   6.24065614e-20  -1.11044477e-40
  4.00000000e-07   0.00000000e+00   0.00000000e+00  -2.30419957e-06   1.03555653e-17   1.87888056e-19  -1.00558720e-39
  4.80000000e-07   0.00000000e+00   0.00000000e+00  -1.14929981e-06   5.16519818e-18   9.37600963e-20  -2.50272768e-40
  5.60000000e-07   0.00000000e+00   0.00000000e+00   4.73693673e-08  -2.12888018e-19  -3.86488153e-21  -4.22359572e-43
  6.40000000e-07   0.00000000e+00   0.00000000e+00  -2.93757125e-06   1.32020684e-17   2.39785656e-19  -1.63443815e-39
  7.20000000e-07   0.00000000e+00   0.00000000e+00  -3.38113638e-07   1.51955430e-18   2.76061863e-20  -2.16740449e-41
  8.00000000e-07   0.00000000e+00   0.00000000e+00  -1.90223090e-06   8.54902778e-18   1.55353754e-19  -6.85531949e-40
  8.80000000e-07   0.00000000e+00   0.00000000e+00  -7.16363561e-07   3.21948887e-18   5.85270114e-20  -9.72477723e-41
  9.60000000e-07   0.00000000e+00   0.00000000e+00  -1.94400723e-06   8.73677792e-18   1.58848443e-19  -7.15758947e-40
  1.04000000e-06   0.00000000e+00   0.00000000e+00  -1.09137643e-06   4.90487481e-18   8.92187698e-20  -2.25683261e-40
  1.12000000e-06   0.00000000e+00   0.00000000e+00   7.77134903e-08  -3.49260729e-19  -6.35362148e-21  -1.13970326e-42
  1.20000000e-06   0.00000000e+00   0.00000000e+00  -2.56609679e-06   1.15325760e-17   2.09871794e-19  -1.24719050e-39
  1.28000000e-06   0.00000000e+00   0.00000000e+00  -2.98969791e-07   1.34363268e-18   2.44581351e-20  -1.69476380e-41
  1.36000000e-06   0.00000000e+00   0.00000000e+00   8.53499052e-07  -3.83580278e-18  -6.98357949e-20  -1.37940753e-40
  1.44000000e-06   0.00000000e+00   0.00000000e+00  -6.68422807e-07   3.00403118e-18   5.47110787e-20  -8.46688451e-41
  1.52000000e-06   0.00000000e+00   0.00000000e+00  -1.59871522e-06   7.18495854e-18   1.30874268e-19  -4.84062599e-40
  1.60000000e-06   0.00000000e+00   0.00000000e+00  -1.03482141e-06   4.65070197e-18   8.47430123e-20  -2.02901170e-40
  1.68000000e-06   0.00000000e+00   0.00000000e+00   1.07118527e-07  -4.81412847e-19  -8.77345525e-21  -2.16772693e-42
