     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.170139e+01   3.491789e+00   1.562353e+06   1.668495e+05  -1.786083e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   2.249882e-01   1.171474e+01   3.348902e+00   1.562353e+06   1.668495e+05  -1.786083e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
       16000   1.599900e-07   3.499765e-01   1.172809e+01   3.206016e+00   1.562353e+06   1.668495e+05  -1.786083e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
       24000   2.399900e-07   4.749647e-01   1.174143e+01   3.063129e+00   1.562353e+06   1.668495e+05  -1.786083e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
       32000   3.199900e-07   5.999530e-01   1.175478e+01   2.920242e+00   1.562353e+06   1.668495e+05  -1.786083e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
       40000   3.999900e-07   7.249412e-01   1.176813e+01   2.777356e+00   1.562353e+06   1.668495e+05  -1.786083e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
       48000   4.799900e-07   8.499295e-01   1.178148e+01   2.634469e+00   1.562353e+06   1.668495e+05  -1.786083e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
       56000   5.599900e-07   9.749177e-01   1.179483e+01   2.491582e+00   1.562353e+06   1.668495e+05  -1.786083e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
       64000   6.399900e-07   1.099906e+00   1.180817e+01   2.348696e+00   1.562353e+06   1.668495e+05  -1.786083e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
       72000   7.199900e-07   1.224894e+00   1.182152e+01   2.205809e+00   1.562353e+06   1.668495e+05  -1.786083e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
       80000   7.999900e-07   1.349882e+00   1.183487e+01   2.062923e+00   1.562353e+06   1.668495e+05  -1.786083e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
       88000   8.799900e-07   1.474871e+00   1.184822e+01   1.920036e+00   1.562353e+06   1.668495e+05  -1.786083e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
       96000   9.599900e-07   1.599859e+00   1.186157e+01   1.777149e+00   1.562353e+06   1.668495e+05  -1.786083e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
      104000   1.039990e-06   1.724847e+00   1.187491e+01   1.634263e+00   1.562353e+06   1.668495e+05  -1.786083e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
      112000   1.119990e-06   1.849835e+00   1.188826e+01   1.491376e+00   1.562353e+06   1.668495e+05  -1.786083e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
      120000   1.199990e-06   1.974824e+00   1.190161e+01   1.348489e+00   1.562353e+06   1.668495e+05  -1.786083e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
